#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:14:08	Eka Systems
00:14:09	Magneti Marelli   S.E. S.p.a.
00:14:0A	Wepio Co.
00:14:0B	First International Computer
00:14:0C	GKB Cctv CO.
00:14:0D	Nortel
00:14:0E	Nortel
00:14:0F	Federal State Unitary Enterprise Leningrad R&D Institute of
00:14:10	Suzhou Keda Technology CO.
00:14:11	Deutschmann Automation GmbH & Co. KG
00:14:12	S-TEC electronics AG
00:14:13	Trebing & Himstedt Prozessautomation GmbH & Co. KG
00:14:14	Jumpnode Systems
00:14:15	Intec Automation
00:14:16	Scosche Industries
00:14:17	RSE Informations Technologie GmbH
00:14:18	C4Line
00:14:19	Sidsa
00:14:1A	Deicy
00:14:1B	Cisco Systems
00:14:1C	Cisco Systems
00:14:1D	Lust Antriebstechnik GmbH
00:14:1E	P.A. Semi
00:14:1F	SunKwang Electronics Co.
00:14:20	G-Links networking company
00:14:21	Total Wireless Technologies Pte.
00:14:22	Dell
00:14:23	J-S Co. Neurocom
00:14:24	Merry Electrics CO.
00:14:25	Galactic Computing
00:14:26	NL Technology
00:14:27	JazzMutant
00:14:28	Vocollect
00:14:29	V Center Technologies Co.
00:14:2A	Elitegroup Computer System Co.
00:14:2B	Edata Technologies
00:14:2C	Koncept International
00:14:2D	Toradex AG
00:14:2E	77 Elektronika Kft.
00:14:2F	WildPackets
00:14:30	ViPowER
00:14:31	PDL Electronics
00:14:32	Tarallax Wireless
00:14:33	Empower Technologies(Canada)
00:14:34	Keri Systems
00:14:35	CityCom
00:14:36	Qwerty Elektronik AB
00:14:37	GSTeletech Co.
00:14:38	Hewlett Packard
00:14:39	Blonder Tongue Laboratories
00:14:3A	Raytalk International SRL
00:14:3B	Sensovation AG
00:14:3C	Oerlikon Contraves
00:14:3D	Aevoe
00:14:3E	AirLink Communications
00:14:3F	Hotway Technology
00:14:40	Atomic
00:14:41	Innovation Sound Technology Co.
00:14:42	Atto
00:14:43	Consultronics Europe
00:14:44	Grundfos Electronics
00:14:45	Telefon-Gradnja d.o.o.
00:14:46	KidMapper
00:14:47	Boaz
00:14:48	Inventec Multimedia & Telecom
00:14:49	Sichuan Changhong Electric
00:14:4A	Taiwan Thick-Film Ind.
00:14:4B	Hifn
00:14:4C	General Meters
00:14:4D	Intelligent Systems
00:14:4E	Srisa
00:14:4F	Sun Microsystems
00:14:50	Heim Systems GmbH
00:14:51	Apple Computer
00:14:52	Calculex
00:14:53	Advantech Technologies Co.
00:14:54	Symwave
00:14:55	Coder Electronics
00:14:56	Edge Products
00:14:57	T-vips AS
00:14:58	HS Automatic ApS
00:14:59	Moram Co.
00:14:5A	Elektrobit AG
00:14:5B	SeekerNet
00:14:5C	Intronics B.V.
00:14:5D	WJ Communications
00:14:5E	IBM
00:14:5F	Aditec CO.
00:14:60	Kyocera Wireless
00:14:61	Corona
00:14:62	Digiwell Technology
00:14:63	Idcs N.V.
00:14:64	Cryptosoft
00:14:65	Novo Nordisk A/S
00:14:66	Kleinhenz Elektronik GmbH
00:14:67	ArrowSpan
00:14:68	CelPlan International
00:14:69	Cisco Systems
00:14:6A	Cisco Systems
00:14:6B	Anagran
00:14:6C	Netgear
00:14:6D	RF Technologies
00:14:6E	H. Stoll GmbH & Co. KG
00:14:6F	Kohler Co
00:14:70	Prokom Software SA
00:14:71	Eastern Asia Technology Limited
00:14:72	China Broadband Wireless IP Standard Group
00:14:73	Bookham
00:14:74	K40 Electronics
00:14:75	Wiline Networks
00:14:76	MultiCom Industries Limited
00:14:77	Nertec
00:14:78	Shenzhen Tp-link Technologies Co.
00:14:79	NEC Magnus Communications
00:14:7A	Eubus GmbH
00:14:7B	Iteris
00:14:7C	3Com Europe
00:14:7D	Aeon Digital International
00:14:7E	PanGo Networks
00:14:7F	Thomson Telecom Belgium
00:14:80	Hitachi-LG Data Storage Korea
00:14:81	Multilink
00:14:82	GoBackTV
00:14:83	eXS
00:14:84	Cermate Technologies
00:14:85	Giga-Byte
00:14:86	Echo Digital Audio
00:14:87	American Technology Integrators
00:14:88	Akorri Networks
00:14:89	B15402100 - Jandei
00:14:8A	Elin Ebg Traction Gmbh
00:14:8B	Globo Electronic GmbH & Co. KG
00:14:8C	Fortress Technologies
00:14:8D	Cubic Defense Simulation Systems
00:14:8E	Tele Power
00:14:8F	Protronic (Far East)
00:14:90	ASP
00:14:91	Daniels Electronics
00:14:92	Liteon, Mobile Media Solution SBU
00:14:93	Systimax Solutions
00:14:94	ESU AG
00:14:95	2Wire
00:14:96	Phonic
00:14:97	Zhiyuan Eletronics Co.
00:14:98	Viking Design Technology
00:14:99	Helicomm
00:14:9A	Motorola Mobile Devices Business
00:14:9B	Nokota Communications
00:14:9C	HF Company
00:14:9D	Sound ID
00:14:9E	UbONE Co.
00:14:9F	System and Chips
00:14:A0	Rfid Asset Track
00:14:A1	Synchronous Communication
00:14:A2	Core Micro Systems
00:14:A3	Vitelec BV
00:14:A4	Hon Hai Precision Ind. Co.
00:14:A5	Gemtek Technology Co.
00:14:A6	Teranetics
00:14:A7	Nokia Danmark A/S
00:14:A8	Cisco Systems
00:14:A9	Cisco Systems
00:14:AA	Ashly Audio
00:14:AB	Senhai Electronic Technology Co.
00:14:AC	Bountiful WiFi
00:14:AD	Gassner Wiege- u. Meßtechnik GmbH
00:14:AE	Wizlogics Co.
00:14:AF	Datasym
00:14:B0	Naeil Community
00:14:B1	Avitec AB
00:14:B2	mCubelogics
00:14:B3	CoreStar International
00:14:B4	General Dynamics United Kingdom
00:14:B5	Private
00:14:B6	Enswer Technology
00:14:B7	AR Infotek
00:14:B8	Hill-Rom
00:14:B9	Stepmind
00:14:BA	Carvers SA de CV
00:14:BB	Open Interface North America
00:14:BC	Synectic Telecom Exports PVT.
00:14:BD	incNETWORKS
00:14:BE	Wink communication technologyLTD
00:14:BF	Cisco-Linksys
00:14:C0	Symstream Technology Group
00:14:C1	U.S. Robotics
00:14:C2	Hewlett Packard
00:14:C3	Seagate Technology
00:14:C4	Vitelcom Mobile Technology
00:14:C5	Alive Technologies
00:14:C6	Quixant
00:14:C7	Nortel
00:14:C8	Contemporary Research
00:14:C9	Silverback Systems
00:14:CA	Key Radio Systems Limited
00:14:CB	LifeSync
00:14:CC	Zetec
00:14:CD	DigitalZone Co.
00:14:CE	NF
00:14:CF	Nextlink.to A/S
00:14:D0	BTI Photonics
00:14:D1	Trendware International
00:14:D2	Kyuki
00:14:D3	Sepsa
00:14:D4	K Technology
00:14:D5	Datang Telecom Technology CO. , LCD,Optical Communication Br
00:14:D6	Jeongmin Electronics Co.
00:14:D7	DataStor Technology
00:14:D8	bio-logic SA
00:14:D9	IP Fabrics
00:14:DA	Sonicaid
00:14:DB	Elma Trenew Electronic GmbH
00:14:DC	Communication System Design & Manufacturing (csdm)
00:14:DD	Covergence
00:14:DE	Sage Instruments
00:14:DF	HI-P Tech
00:14:E0	LET'S
00:14:E1	Data Display AG
00:14:E2	datacom systems
00:14:E3	mm-lab GmbH
00:14:E4	Integral Technologies
00:14:E5	Alticast
00:14:E6	AIM Infrarotmodule GmbH
00:14:E7	Stolinx
00:14:E8	Motorola CHS
00:14:E9	Nortech International
00:14:EA	S Digm (Safe Paradigm)
00:14:EB	AwarePoint
00:14:EC	Acro Telecom
00:14:ED	Airak
00:14:EE	Western Digital Technologies
00:14:EF	TZero Technologies
00:14:F0	Business Security OL AB
00:14:F1	Cisco Systems
00:14:F2	Cisco Systems
00:14:F3	ViXS Systems
00:14:F4	DekTec Digital Video B.V.
00:14:F5	OSI Security Devices
00:14:F6	Juniper Networks
00:14:F7	Crevis
00:14:F8	Scientific Atlanta
00:14:F9	Vantage Controls
00:14:FA	AsGa S.A.
00:14:FB	Technical Solutions
00:14:FC	Extandon
00:14:FD	Thecus Technology
00:14:FE	Artech Electronics
00:14:FF	Precise Automation
00:15:00	Intel Corporate
00:15:01	LexBox
00:15:02	Beta Tech
00:15:03	Proficomms S.r.o.
00:15:04	Game Plus CO.
00:15:05	Actiontec Electronics
00:15:06	BeamExpress
00:15:07	Renaissance Learning
00:15:08	Global Target Enterprise
00:15:09	Plus Technology Co.
00:15:0A	Sonoa Systems
00:15:0B	Sage Infotech
00:15:0C	AVM GmbH
00:15:0D	Hoana Medical
00:15:0E	Openbrain Technologies CO.
00:15:0F	mingjong
00:15:10	Techsphere Co.
00:15:11	Data Center Systems
00:15:12	Zurich University of Applied Sciences
00:15:13	EFS sas
00:15:14	Hu Zhou Nava Networks&electronics
00:15:15	Leipold+Co.GmbH
00:15:16	Uriel Systems
00:15:17	Intel Corporate
00:15:18	Shenzhen 10MOONS Technology Development CO.
00:15:19	StoreAge Networking Technologies
00:15:1A	Hunter Engineering Company
00:15:1B	Isilon Systems
00:15:1C	Leneco
00:15:1D	M2I
00:15:1E	Metaware Co.
00:15:1F	Multivision Intelligent Surveillance (Hong Kong)
00:15:20	Radiocrafts AS
00:15:21	Horoquartz
00:15:22	Dea Security
00:15:23	Meteor Communications
00:15:24	Numatics
00:15:25	PTI Integrated Systems
00:15:26	Remote Technologies
00:15:27	Balboa Instruments
00:15:28	Beacon Medical Products d.b.a. BeaconMedaes
00:15:29	N3
00:15:2A	Nokia GmbH
00:15:2B	Cisco Systems
00:15:2C	Cisco Systems
00:15:2D	TenX Networks
00:15:2E	PacketHop
00:15:2F	Motorola CHS
00:15:30	Bus-Tech
00:15:31	Kocom
00:15:32	Consumer Technologies Group
00:15:33	Nadam.co.
00:15:34	A BeltrÓnica, Companhia de Comunicações
00:15:35	OTE Spa
00:15:36	Powertech co.
00:15:37	Ventus Networks
00:15:38	RFID
00:15:39	Technodrive SRL
00:15:3A	Shenzhen Syscan Technology Co.
00:15:3B	EMH Elektrizitätszähler GmbH & CoKG
00:15:3C	Kprotech Co.
00:15:3D	Elim Product CO.
00:15:3E	Q-Matic Sweden AB
00:15:3F	Alenia Spazio S.p.A.
00:15:40	Nortel
00:15:41	StrataLight Communications
00:15:42	Microhard S.r.l.
00:15:43	Aberdeen Test Center
00:15:44	coM.s.a.t. AG
00:15:45	Seecode Co.
00:15:46	ITG Worldwide Sdn Bhd
00:15:47	AiZen Solutions
00:15:48	Cube Technologies
00:15:49	Dixtal Biomedica Ind. Com. Ltda
00:15:4A	Wanshih Electronic CO.
00:15:4B	Wonde Proud Technology Co.
00:15:4C	Saunders Electronics
00:15:4D	Netronome Systems
00:15:4E	Hirschmann Automation and Control GmbH
00:15:4F	one RF Technology
00:15:50	Nits Technology
00:15:51	RadioPulse
00:15:52	Wi-Gear
00:15:53	Cytyc
00:15:54	Atalum Wireless S.A.
00:15:55	DFM GmbH
00:15:56	Sagem SA
00:15:57	Olivetti
00:15:58	Foxconn
00:15:59	Securaplane Technologies
00:15:5A	Dainippon Pharmaceutical CO.
00:15:5B	Sampo
00:15:5C	Dresser Wayne
00:15:5D	Microsoft
00:15:5E	Morgan Stanley
00:15:5F	Ubiwave
00:15:60	Hewlett Packard
00:15:61	JJPlus
00:15:62	Cisco Systems
00:15:63	Cisco Systems
00:15:64	Behringer Spezielle Studiotechnik Gmbh
00:15:65	Xiamen Yealink Network Technology Co.
00:15:66	A-First Technology Co.
00:15:67	Radwin
00:15:68	Dilithium Networks
00:15:69	Peco II
00:15:6A	DG2L Technologies Pvt.
00:15:6B	Perfisans Networks
00:15:6C	Sane System CO.
00:15:6D	Ubiquiti Networks
00:15:6E	A. W. Communication Systems
00:15:6F	Xiranet Communications GmbH
00:15:70	Symbol Technologies
00:15:71	Nolan Systems
00:15:72	Red-Lemon
00:15:73	NewSoft  Technology
00:15:74	Horizon Semiconductors
00:15:75	Nevis Networks
00:15:76	scil animal care company GmbH
00:15:77	Allied Telesyn
00:15:78	Audio / Video Innovations
00:15:79	Lunatone Industrielle Elektronik GmbH
00:15:7A	Telefin S.p.A.
00:15:7B	Leuze electronic GmbH + Co. KG
00:15:7C	Dave Networks
00:15:7D	Posdata CO.
00:15:7E	Heyfra Electronic Gmbh
00:15:7F	ChuanG International Holding CO.
00:15:80	U-way
00:15:81	Makus
00:15:82	TVonics
00:15:83	IVT
00:15:84	Schenck Process GmbH
00:15:85	Aonvision Technolopy
00:15:86	Xiamen Overseas Chinese Electronic Co.
00:15:87	Takenaka Seisakusho Co.
00:15:88	Balda-Thong Fook Solutions Sdn. Bhd.
00:15:89	D-MAX Technology Co.
00:15:8A	Surecom Technology
00:15:8B	Park Air Systems
00:15:8C	Liab ApS
00:15:8D	Jennic
00:15:8E	Plustek.INC
00:15:8F	NTT Advanced Technology
00:15:90	Hectronic GmbH
00:15:91	RLW
00:15:92	Facom UK (Melksham)
00:15:93	U4EA Technologies
00:15:94	Bixolon Co.
00:15:95	Quester Tangent
00:15:96	Arris International
00:15:97	Aeta Audio Systems
00:15:98	Kolektor group
00:15:99	Samsung Electronics Co.
00:15:9A	Motorola CHS
00:15:9B	Nortel
00:15:9C	B-kyung System Co.
00:15:9D	Minicom Advanced Systems
00:15:9E	Saitek plc
00:15:9F	Terascala
00:15:A0	Nokia Danmark A/S
00:15:A1	Sinters SAS
00:15:A2	Arris International
00:15:A3	Arris International
00:15:A4	Arris International
00:15:A5	DCI Co.
00:15:A6	Digital Electronics Products
00:15:A7	Robatech AG
00:15:A8	Motorola Mobile Devices
00:15:A9	Kwang WOO I&C Co.
00:15:AA	Rextechnik International Co.,
00:15:AB	PRO CO Sound
00:15:AC	Capelon AB
00:15:AD	Accedian Networks
00:15:AE	kyung il
00:15:AF	AzureWave Technologies
00:15:B0	Autotelenet Co.
00:15:B1	Ambient
00:15:B2	Advanced Industrial Computer
00:15:B3	Caretech AB
00:15:B4	Polymap  Wireless
00:15:B5	CI Network
00:15:B6	ShinMaywa Industries
00:15:B7	Toshiba
00:15:B8	Tahoe
00:15:B9	Samsung Electronics Co.
00:15:BA	iba AG
00:15:BB	SMA Technologie AG
00:15:BC	Develco
00:15:BD	Group 4 Technology
00:15:BE	Iqua
00:15:BF	technicob
00:15:C0	Digital Telemedia Co.
00:15:C1	Sony Computer Entertainment,
00:15:C2	3M Germany
00:15:C3	Ruf Telematik AG
00:15:C4	Flovel CO.
00:15:C5	Dell
00:15:C6	Cisco Systems
00:15:C7	Cisco Systems
00:15:C8	FlexiPanel
00:15:C9	Gumstix
00:15:CA	TeraRecon
00:15:CB	Surf Communication Solutions
00:15:CC	Tepco Uquest
00:15:CD	Exartech International
00:15:CE	Arris International
00:15:CF	Arris International
00:15:D0	Arris International
00:15:D1	Arris International
00:15:D2	Xantech
00:15:D3	Pantech&Curitel Communications
00:15:D4	Emitor AB
00:15:D5	Nicevt
00:15:D6	OSLiNK Sp. z o.o.
00:15:D7	Reti
00:15:D8	Interlink Electronics
00:15:D9	PKC Electronics Oy
00:15:DA	Iritel A.D.
00:15:DB	Canesta
00:15:DC	KT&C Co.
00:15:DD	IP Control Systems
00:15:DE	Nokia Danmark A/S
00:15:DF	Clivet S.p.A.
00:15:E0	Ericsson Mobile Platforms
00:15:E1	picoChip Designs
00:15:E2	Wissenschaftliche Geraetebau Dr. Ing. H. Knauer GmbH
00:15:E3	Dream Technologies
00:15:E4	Zimmer Elektromedizin
00:15:E5	Cheertek
00:15:E6	Mobile Technika
00:15:E7	Quantec ProAudio
00:15:E8	Nortel
00:15:E9	D-Link
00:15:EA	Tellumat (Pty)
00:15:EB	ZTE
00:15:EC	Boca Devices
00:15:ED	Fulcrum Microsystems
00:15:EE	Omnex Control Systems
00:15:EF	NEC Tokin
00:15:F0	EGO BV
00:15:F1	Kylink Communications
00:15:F2	Asustek Computer
00:15:F3	Peltor AB
00:15:F4	Eventide
00:15:F5	Sustainable Energy Systems
00:15:F6	Science AND Engineering Services
00:15:F7	Wintecronics
00:15:F8	Kingtronics Industrial Co.
00:15:F9	Cisco Systems
00:15:FA	Cisco Systems
00:15:FB	setex schermuly textile computer gmbh
00:15:FC	Startco Engineering
00:15:FD	Complete Media Systems
00:15:FE	Schilling Robotics
00:15:FF	Novatel Wireless
00:16:00	CelleBrite Mobile Synchronization
00:16:01	Buffalo
00:16:02	Ceyon Technology Co.
00:16:03	Private
00:16:04	Sigpro
00:16:05	Yorkville Sound
00:16:06	Ideal Industries
00:16:07	Curves International
00:16:08	Sequans Communications
00:16:09	Unitech electronics co.
00:16:0A	Sweex Europe BV
00:16:0B	TVWorks
00:16:0C	LPL  Development S.A. DE C.V
00:16:0D	Be Here
00:16:0E	Optica Technologies
00:16:0F	Badger Meter
00:16:10	Carina Technology
00:16:11	Altecon Srl
00:16:12	Otsuka Electronics Co.
00:16:13	LibreStream Technologies
00:16:14	Picosecond Pulse Labs
00:16:15	Nittan Company, Limited
00:16:16	Browan Communication
00:16:17	MSI
00:16:18	Hivion Co.
00:16:19	La Factoría de Comunicaciones Aplicadas
00:16:1A	Dametric AB
00:16:1B	Micronet
00:16:1C	e:cue
00:16:1D	Innovative Wireless Technologies
00:16:1E	Woojinnet
00:16:1F	Sunwavetec Co.
00:16:20	Sony Ericsson Mobile Communications AB
00:16:21	Colorado Vnet
00:16:22	BBH Systems Gmbh
00:16:23	Interval Media
00:16:24	Private
00:16:25	Impinj
00:16:26	Motorola CHS
00:16:27	Embedded-logic Design AND More Gmbh
00:16:28	Ultra Electronics Manufacturing and Card Systems
00:16:29	Nivus GmbH
00:16:2A	Antik computers & communications s.r.o.
00:16:2B	Togami Electric Mfg.co.
00:16:2C	Xanboo
00:16:2D	STNet Co.
00:16:2E	Space Shuttle Hi-Tech Co.
00:16:2F	Geutebrück GmbH
00:16:30	Vativ Technologies
00:16:31	Xteam
00:16:32	Samsung Electronics CO.
00:16:33	Oxford Diagnostics
00:16:34	Mathtech
00:16:35	Hewlett Packard
00:16:36	Quanta Computer
00:16:37	Citel Srl
00:16:38	Tecom Co.
00:16:39	Ubiquam Co.
00:16:3A	Yves Technology CO.
00:16:3B	VertexRSI/General Dynamics
00:16:3C	Rebox B.V.
00:16:3D	Tsinghua Tongfang Legend Silicon Tech. Co.
00:16:3E	Xensource
00:16:3F	Crete Systems
00:16:40	Asmobile Communication
00:16:41	USI
00:16:42	Pangolin
00:16:43	Sunhillo Corproation
00:16:44	Lite-on Technology
00:16:45	Power Distribution
00:16:46	Cisco Systems
00:16:47	Cisco Systems
00:16:48	SSD Company Limited
00:16:49	SetOne GmbH
00:16:4A	Vibration Technology Limited
00:16:4B	Quorion Data Systems GmbH
00:16:4C	Planet INT Co.
00:16:4D	Alcatel North America IP Division
00:16:4E	Nokia Danmark A/S
00:16:4F	World Ethnic Broadcastin
00:16:50	Eyal Microwave
00:16:51	Private
00:16:52	Hoatech Technologies
00:16:53	Lego System A/S IE Electronics Division
00:16:54	Flex-P Industries Sdn. Bhd.
00:16:55	Fuho Technology Co.
00:16:56	Nintendo Co.
00:16:57	Aegate
00:16:58	Fusiontech Technologies
00:16:59	Z.m.p. Radwag
00:16:5A	Harman Specialty Group
00:16:5B	Grip Audio
00:16:5C	Trackflow
00:16:5D	AirDefense
00:16:5E	Precision I/O
00:16:5F	Fairmount Automation
00:16:60	Nortel
00:16:61	Novatium Solutions (P)
00:16:62	Liyuh Technology
00:16:63	KBT Mobile
00:16:64	Prod-El SpA
00:16:65	Cellon France
00:16:66	Quantier Communication
00:16:67	A-TEC Subsystem
00:16:68	Eishin Electronics
00:16:69	MRV Communication (Networks)
00:16:6A	TPS
00:16:6B	Samsung Electronics
00:16:6C	Samsung Electonics Digital Video System Division
00:16:6D	Yulong Computer Telecommunication Scientific(shenzhen)Co.
00:16:6E	Arbitron
00:16:6F	Intel
00:16:70	Sknet
00:16:71	Symphox Information Co.
00:16:72	Zenway enterprise
00:16:73	Private
00:16:74	EuroCB (Phils.)
00:16:75	Motorola MDb
00:16:76	Intel
00:16:77	Bihl+Wiedemann GmbH
00:16:78	Shenzhen Baoan Gaoke Electronics CO.
00:16:79	eOn Communications
00:16:7A	Skyworth Overseas Dvelopment
00:16:7B	Haver&Boecker
00:16:7C	iRex Technologies BV
00:16:7D	Sky-Line
00:16:7E	Diboss.co.
00:16:7F	Bluebird Soft
00:16:80	Bally Gaming + Systems
00:16:81	Vector Informatik GmbH
00:16:82	Pro Dex
00:16:83	Webio International Co.
00:16:84	Donjin Co.
00:16:85	Frwd Technologies
00:16:86	Karl Storz Imaging
00:16:87	Chubb CSC-Vendor AP
00:16:88	ServerEngines
00:16:89	Pilkor Electronics Co.
00:16:8A	id-Confirm
00:16:8B	Paralan
00:16:8C	DSL Partner AS
00:16:8D	Korwin CO.
00:16:8E	Vimicro
00:16:8F	GN Netcom as
00:16:90	J-tek Incorporation
00:16:91	Moser-Baer AG
00:16:92	Scientific-Atlanta
00:16:93	PowerLink Technology
00:16:94	Sennheiser Communications A/S
00:16:95	AVC Technology Limited
00:16:96	QDI Technology (H.K.) Limited
00:16:97	NEC
00:16:98	T&A Mobile Phones SAS
00:16:99	Private
00:16:9A	Quadrics
00:16:9B	Alstom Transport
00:16:9C	Cisco Systems
00:16:9D	Cisco Systems
00:16:9E	TV One
00:16:9F	Vimtron Electronics Co.
00:16:A0	Auto-Maskin
00:16:A1	3Leaf Networks
00:16:A2	CentraLite Systems
00:16:A3	Team Arteche
00:16:A4	Ezurio
00:16:A5	Tandberg Storage ASA
00:16:A6	Dovado FZ-LLC
00:16:A7	Aweta G&P
00:16:A8	CWT CO.
00:16:A9	2EI
00:16:AA	Kei Communication Technology
00:16:AB	PBI-Dansensor A/S
00:16:AC	Toho Technology
00:16:AD	BT-Links Company Limited
00:16:AE	Inventel
00:16:AF	Shenzhen Union Networks Equipment Co.
00:16:B0	VK
00:16:B1	KBS
00:16:B2	DriveCam
00:16:B3	Photonicbridges (China) Co.
00:16:B4	Private
00:16:B5	Motorola CHS
00:16:B6	Cisco-Linksys
00:16:B7	Seoul Commtech
00:16:B8	Sony Ericsson Mobile Communications
00:16:B9	ProCurve Networking
00:16:BA	Weathernews
00:16:BB	Law-Chain Computer Technology Co
00:16:BC	Nokia Danmark A/S
00:16:BD	ATI Industrial Automation
00:16:BE	Infranet
00:16:BF	PaloDEx Group Oy
00:16:C0	Semtech
00:16:C1	Eleksen
00:16:C2	Avtec Systems
00:16:C3	BA Systems
00:16:C4	SiRF Technology
00:16:C5	Shenzhen Xing Feng Industry Co.
00:16:C6	North Atlantic Industries
00:16:C7	Cisco Systems
00:16:C8	Cisco Systems
00:16:C9	NAT Seattle
00:16:CA	Nortel
00:16:CB	Apple Computer
00:16:CC	Xcute Mobile
00:16:CD	Hiji High-tech CO.
00:16:CE	Hon Hai Precision Ind. Co.
00:16:CF	Hon Hai Precision Ind. Co.
00:16:D0	ATech elektronika d.o.o.
00:16:D1	ZAT a.s.
00:16:D2	Caspian
00:16:D3	Wistron
00:16:D4	Compal Communications
00:16:D5	Synccom Co.
00:16:D6	TDA Tech
00:16:D7	Sunways AG
00:16:D8	Senea AB
00:16:D9	Ningbo Bird Co.
00:16:DA	Futronic Technology Co.
00:16:DB	Samsung Electronics Co.
00:16:DC	Archos
00:16:DD	Gigabeam
00:16:DE	Fast
00:16:DF	Lundinova AB
00:16:E0	3Com Europe
00:16:E1	SiliconStor
00:16:E2	American Fibertek
00:16:E3	Askey Computer
00:16:E4	Vanguard Security Engineering
00:16:E5	Fordley Development Limited
00:16:E6	Giga-byte Technology Co.
00:16:E7	Dynamix Promotions Limited
00:16:E8	Sigma Designs
00:16:E9	Tiba Medical
00:16:EA	Intel
00:16:EB	Intel
00:16:EC	Elitegroup Computer Systems Co.
00:16:ED	Integrian
00:16:EE	RoyalDigital
00:16:EF	Koko Fitness
00:16:F0	Zermatt Systems
00:16:F1	OmniSense
00:16:F2	Dmobile System Co.
00:16:F3	Cast Information Co.
00:16:F4	Eidicom Co.
00:16:F5	Dalian Golden Hualu Digital Technology Co.
00:16:F6	Video Products Group
00:16:F7	L-3 Communications, Electrodynamics
00:16:F8	Private
00:16:F9	Cetrta POT, D.o.o.
00:16:FA	ECI Telecom
00:16:FB	Shenzhen MTC Co.
00:16:FC	Tohken Co.
00:16:FD	Jaty Electronics
00:16:FE	Alps Electric Co.
00:16:FF	Wamin Optocomm Mfg
00:17:00	Motorola MDb
00:17:01	KDE
00:17:02	Osung Midicom Co.
00:17:03	Mosdan Internation Co.
00:17:04	Shinco Electronics Group Co.
00:17:05	Methode Electronics
00:17:06	Techfaithwireless Communication Technology Limited.
00:17:07	InGrid
00:17:08	Hewlett Packard
00:17:09	Exalt Communications
00:17:0A	Inew Digital Company
00:17:0B	Contela
00:17:0C	Benefon Oyj
00:17:0D	Dust Networks
00:17:0E	Cisco Systems
00:17:0F	Cisco Systems
00:17:10	Casa Systems
00:17:11	GE Healthcare Bio-Sciences AB
00:17:12	Isco International
00:17:13	Tiger NetCom
00:17:14	BR Controls Nederland bv
00:17:15	Qstik
00:17:16	Qno Technology
00:17:17	Leica Geosystems AG
00:17:18	Vansco Electronics Oy
00:17:19	AudioCodes USA
00:17:1A	Winegard Company
00:17:1B	Innovation Lab
00:17:1C	NT MicroSystems
00:17:1D	Digit
00:17:1E	Theo Benning GmbH & Co. KG
00:17:1F	IMV
00:17:20	Image Sensing Systems
00:17:21	Fitre S.p.a.
00:17:22	Hanazeder Electronic GmbH
00:17:23	Summit Data Communications
00:17:24	Studer Professional Audio GmbH
00:17:25	Liquid Computing
00:17:26	m2c Electronic Technology
00:17:27	Thermo Ramsey Italia s.r.l.
00:17:28	Selex Communications
00:17:29	UbicodLTD
00:17:2A	Proware Technology
00:17:2B	Global Technologies
00:17:2C	Taejin Infotech
00:17:2D	Axcen Photonics
00:17:2E	FXC
00:17:2F	NeuLion Incorporated
00:17:30	Automation Electronics
00:17:31	Asustek Computer
00:17:32	Science-technical Center "rissa"
00:17:33	neuf cegetel
00:17:34	LGC Wireless
00:17:35	Private
00:17:36	iiTron
00:17:37	Industrie Dial Face S.p.A.
00:17:38	XIV
00:17:39	Bright Headphone Electronics Company
00:17:3A	Edge Integration Systems
00:17:3B	Arched Rock
00:17:3C	Extreme Engineering Solutions
00:17:3D	Neology
00:17:3E	LeucotronEquipamentos Ltda.
00:17:3F	Belkin
00:17:40	Technologies Labtronix
00:17:41	Defidev
00:17:42	Fujitsu Limited
00:17:43	Private
00:17:44	Araneo
00:17:45	Innotz CO.
00:17:46	Freedom9
00:17:47	Trimble
00:17:48	Neokoros Brasil Ltda
00:17:49	Hyundae Yong-o-sa Co.
00:17:4A	Socomec
00:17:4B	Nokia Danmark A/S
00:17:4C	Millipore
00:17:4D	Dynamic Network Factory
00:17:4E	Parama-tech Co.
00:17:4F	iCatch
00:17:50	GSI Group, MicroE Systems
00:17:51	Online
00:17:52	DAGS
00:17:53	nFore Technology
00:17:54	Arkino
00:17:55	GE Security
00:17:56	Vinci Labs Oy
00:17:57	RIX Technology Limited
00:17:58	ThruVision
00:17:59	Cisco Systems
00:17:5A	Cisco Systems
00:17:5B	ACS Solutions Switzerland
00:17:5C	Sharp
00:17:5D	Dongseo system.
00:17:5E	Anta Systems
00:17:5F	Xenolink Communications Co.
00:17:60	Naito Densei Machida MFG.CO.
00:17:61	ZKSoftware
00:17:62	Solar Technology
00:17:63	Essentia S.p.A.
00:17:64	ATMedia GmbH
00:17:65	Nortel
00:17:66	Accense Technology
00:17:67	Earforce AS
00:17:68	Zinwave
00:17:69	Cymphonix
00:17:6A	Avago Technologies
00:17:6B	Kiyon
00:17:6C	Pivot3
00:17:6D	Core
00:17:6E	Ducati Sistemi
00:17:6F	PAX Computer Technology(Shenzhen)
00:17:70	Arti Industrial Electronics
00:17:71	APD Communications
